Group,Week,Date,Species,PlantId,Use,Treatment,Soil_humidity,Electrical_conductivity,Too_dry,Plant_height,Leaf_number,Leaf_length,Leaf_width,Leaf_area,Chlorophyll_content,Aerial_fresh_weight,Aerial_dry_weight,Root_length,Roots_fresh_weight,Roots_dry_weight,Mortality,Comments
G4,W1,2022-10-05,Sonchus oleraceus,Sooi3,wild,i, 60.2,1.85,,12.5,5, 4.10, 3.60,, 28.90,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Sooi4,wild,i, 62.2,1.83,,8.8,4, 3.50, 2.60,, 26.20,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Sooi5,wild,i, 65.9,1.84,,9.9,5, 3.70, 3.00,, 26.10,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Sooi6,wild,i, 58.8,1.71,,9.7,4, 3.50, 3.00,, 26.70,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Sooi7,wild,i, 61.6,1.67,,9.8,5, 3.00, 2.20,, 29.10,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs1,cultivated,s, 46.8,1.48,,13.8,3, 6.00, 2.10,, 22.30,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs2,cultivated,s, 45.9,1.63,,10.0,3, 5.00, 1.90,, 20.20,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs3,cultivated,s, 40.2,1.63,,12.0,3, 6.60, 2.20,, 22.70,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs4,cultivated,s, 50.5,1.49,,14.9,4, 7.80, 3.50,, 26.40,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs5,cultivated,s, 46.7,1.46,,12.5,5, 4.90, 2.30,, 22.10,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs6,cultivated,s, 46.5,1.48,,13.3,3, 4.50, 2.00,, 19.30,,,,,,,
G4,W1,2022-10-05,Beta vulgaris,Bvs7,cultivated,s, 45.2,1.73,,9.5,3, 5.60, 2.50,, 21.30,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos1,wild,s, 55.1,1.62,,12.4,4, 4.60, 4.00,, 24.50,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos2,wild,s, 55.1,1.79,,9.6,5, 3.50, 3.20,, 24.70,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos3,wild,s, 53.6,2.21,,10.0,5, 3.60, 3.10,, 24.40,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos4,wild,s, 52.2,1.85,,10.0,5, 3.40, 2.90,, 26.70,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos5,wild,s, 47.9,1.77,,12.2,6, 3.70, 3.00,, 22.00,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos6,wild,s, 55.0,1.96,,8.2,3, 2.50, 1.80,, 20.70,,,,,,,
G4,W1,2022-10-05,Sonchus oleraceus,Soos7,wild,s, 61.2,2.31,,10.4,5, 3.90, 3.80,, 27.00,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc1,cultivated,c, 44.7,1.64,,13.2,6, 6.50, 3.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc2,cultivated,c, 48.4,1.84,,14.5,8, 7.00, 4.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc3,cultivated,c, 49.6,1.98,,17.3,7, 10.80, 6.20,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc4,cultivated,c, 46.6,1.71,,10.9,5, 6.00, 3.50,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc5,cultivated,c, 44.8,1.70,,13.1,7, 7.90, 3.30,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc6,cultivated,c, 48.4,1.92,,12.1,5, 7.20, 2.90,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvc7,cultivated,c, 46.9,1.93,,11.4,5, 6.10, 2.80,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc1,wild,c, 50.5,2.02,,12.2,6, 4.70, 4.00,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc2,wild,c, 43.7,1.78,,12.6,6, 5.00, 4.30,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc3,wild,c, 45.8,1.87,,19.0,7, 9.10, 5.70,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc4,wild,c, 48.7,2.02,,11.8,5, 4.60, 3.50,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc5,wild,c, 54.9,2.15,,10.0,5, 4.20, 3.40,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc6,wild,c, 53.7,2.08,,12.6,6, 6.10, 4.10,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooc7,wild,c, 46.7,1.88,,12.2,6, 4.30, 4.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi1,cultivated,i, 38.8,1.74,,13.6,6, 6.80, 3.20,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi2,cultivated,i, 31.1,1.49,,12.7,5, 7.30, 4.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi3,cultivated,i, 33.9,1.49,,11.2,5, 6.20, 3.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi4,cultivated,i, 47.4,1.91,,11.7,5, 6.90, 3.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi5,cultivated,i, 36.5,1.58,,12.0,5, 6.40, 3.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi6,cultivated,i, 45.7,2.00,,11.3,5, 6.50, 2.80,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvi7,cultivated,i, 38.0,1.49,,14.0,6, 8.20, 3.40,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi1,wild,i, 48.2,2.03,,11.2,6, 4.30, 3.30,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi2,wild,i, 35.8,1.77,,14.4,7, 7.10, 4.20,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi3,wild,i, 37.7,1.79,,17.2,7, 8.00, 4.90,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi4,wild,i, 42.3,2.16,,10.3,6, 5.20, 3.20,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi5,wild,i, 35.6,1.89,,10.9,6, 4.10, 3.40,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi6,wild,i, 37.2,2.00,,10.4,6, 3.90, 3.50,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Sooi7,wild,i, 42.3,1.95,,15.1,5, 7.10, 3.30,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs1,cultivated,s, 22.0,1.39,,14.4,5, 6.50, 2.50,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs2,cultivated,s, 18.2,1.52,,11.9,6, 6.00, 2.50,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs3,cultivated,s, 9.3,,dry,13.9,6, 8.30, 3.40,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs4,cultivated,s, 10.9,,dry,15.0,6, 8.80, 4.00,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs5,cultivated,s, 19.0,1.39,,12.5,5, 7.30, 3.10,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs6,cultivated,s, 20.0,1.45,,14.0,5, 5.40, 2.40,,,,,,,,,
G4,W2,2022-10-19,Beta vulgaris,Bvs7,cultivated,s, 20.2,1.58,,11.2,4, 7.20, 3.20,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos1,wild,s, 16.4,1.88,,13.2,6, 5.00, 4.40,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos2,wild,s, 20.1,1.56,,10.8,5, 4.10, 3.80,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos3,wild,s, 21.8,1.55,,13.5,5, 6.10, 3.90,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos4,wild,s, 19.2,1.56,,13.6,6, 5.10, 4.30,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos5,wild,s, 11.7,,dry,13.6,7, 5.20, 3.30,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos6,wild,s, 19.7,1.44,,13.0,5, 5.00, 3.90,,,,,,,,,
G4,W2,2022-10-19,Sonchus oleraceus,Soos7,wild,s, 16.7,1.88,,11.3,6, 4.50, 3.60,,,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc1,cultivated,c, 31.2,1.29,,14.0,7, 6.50, 3.00,, 25.80,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc2,cultivated,c, 34.8,1.47,,15.5,8, 6.70, 4.00,, 27.10,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc3,cultivated,c, 39.2,1.70,,18.4,7, 11.40, 6.90,, 23.30,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc4,cultivated,c, 40.6,1.57,,11.4,6, 6.40, 3.20,, 23.50,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc5,cultivated,c, 36.2,1.50,,14.6,7, 7.30, 3.40,, 23.60,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc6,cultivated,c, 42.9,1.41,,13.1,6, 7.50, 3.00,, 23.30,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvc7,cultivated,c, 42.4,1.69,,11.0,6, 5.70, 2.70,, 20.80,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc1,wild,c, 40.4,1.84,,12.5,8, 4.80, 4.10,, 26.90,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc2,wild,c, 37.5,1.55,,13.2,8, 5.80, 4.30,, 25.00,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc3,wild,c, 32.1,1.73,,19.2,10, 9.20, 5.80,, 27.90,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc4,wild,c, 39.7,1.89,,11.7,7, 4.90, 3.50,, 27.00,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc5,wild,c, 43.9,1.80,,10.4,9, 4.60, 3.50,, 23.80,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc6,wild,c, 51.1,2.23,,12.4,8, 6.10, 4.10,, 28.40,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooc7,wild,c, 29.9,1.84,,12.2,8, 4.00, 4.10,, 30.00,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi1,cultivated,i, 29.8,1.65,,13.9,7, 6.90, 3.20,, 27.50,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi2,cultivated,i, 23.6,1.28,,13.3,6, 7.10, 4.10,, 25.40,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi3,cultivated,i, 18.7,1.31,,11.2,6, 6.40, 3.10,, 22.60,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi4,cultivated,i, 34.2,1.70,,11.9,6, 7.30, 3.10,, 26.10,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi5,cultivated,i, 26.5,1.19,,12.4,6, 6.60, 3.10,, 20.60,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi6,cultivated,i, 39.3,1.73,,11.6,6, 7.00, 3.00,, 26.70,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvi7,cultivated,i, 23.7,1.59,,13.9,7, 8.10, 3.40,, 26.70,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi1,wild,i, 41.6,1.92,,11.6,7, 4.50, 3.50,, 26.80,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi2,wild,i, 17.9,1.68,,14.5,9, 7.10, 4.30,, 30.40,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi3,wild,i, 18.1,1.70,,17.3,9, 8.10, 4.90,, 29.90,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi4,wild,i, 27.1,1.97,,9.9,7, 5.20, 3.30,, 26.00,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi5,wild,i, 22.1,1.80,,10.1,8, 4.10, 3.40,, 28.90,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi6,wild,i, 20.6,1.56,,10.4,8, 3.90, 3.30,, 30.90,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Sooi7,wild,i, 22.9,1.43,,15.1,8, 6.90, 3.50,, 28.00,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs1,cultivated,s, 12.6,,dry,14.1,6, 6.40, 2.50,, 29.60,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs2,cultivated,s, 10.1,,dry,10.6,7, 5.90, 2.40,, 27.40,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs3,cultivated,s, 7.0,,dry,12.8,6, 7.40, 2.90,, 32.40,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs4,cultivated,s, 8.2,,dry,14.5,6, 8.00, 3.70,, 34.40,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs5,cultivated,s, 9.4,,dry,12.8,5, 5.60, 3.20,, 25.20,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs6,cultivated,s, 7.0,,dry,12.2,6, 5.20, 2.40,, 25.10,,,,,,,
G4,W3,2022-10-26,Beta vulgaris,Bvs7,cultivated,s, 7.6,,dry,12.0,6, 7.40, 3.30,, 24.00,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos1,wild,s, 4.4,,dry,13.1,7, 7.00, 4.40,, 32.20,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos2,wild,s, 4.7,,dry,10.4,7, 4.80, 3.70,, 31.20,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos3,wild,s, 6.2,,dry,13.3,7, 6.50, 3.70,, 28.20,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos4,wild,s, 6.0,,dry,13.8,6, 5.60, 4.30,, 30.80,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos5,wild,s, 4.7,,dry,13.5,8, 5.20, 3.30,, 31.70,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos6,wild,s, 5.8,,dry,12.6,6, 5.00, 3.80,, 30.20,,,,,,,
G4,W3,2022-10-26,Sonchus oleraceus,Soos7,wild,s, 5.2,,dry,10.9,7, 4.30, 3.30,, 31.90,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc1,cultivated,c, 33.7,1.74,,14.2,8, 7.90, 3.20,, 27.00,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc2,cultivated,c, 28.8,1.50,,15.3,10, 8.10, 4.10,, 28.50,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc3,cultivated,c, 29.1,1.57,,19.0,10, 12.10, 6.80,, 28.50,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc4,cultivated,c, 30.7,1.21,,12.1,7, 7.10, 3.70,, 21.80,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc5,cultivated,c, 36.0,1.76,,13.9,8, 7.80, 3.40,, 22.50,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc6,cultivated,c, 42.9,1.70,,13.5,7, 7.60, 3.10,, 26.60,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvc7,cultivated,c, 28.9,1.74,,11.0,8, 6.10, 2.80,, 23.30,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc1,wild,c, 26.7,1.56,,12.4,12, 5.60, 3.90,, 32.30,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc2,wild,c, 29.5,1.39,,13.2,10, 6.50, 4.20,, 27.30,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc3,wild,c, 19.4,1.77,,19.1,13, 9.50, 5.70,, 31.20,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc4,wild,c, 35.4,1.65,,12.0,9, 4.80, 3.60,, 29.00,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc5,wild,c, 43.7,1.94,,10.0,11, 4.90, 3.40,, 24.20,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc6,wild,c, 31.4,1.76,,12.8,11, 6.70, 4.20,, 30.30,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooc7,wild,c, 20.0,1.64,,11.5,10, 5.60, 4.00,, 31.40,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi1,cultivated,i, 21.5,1.49,,13.0,8, 7.10, 3.30,, 27.30,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi2,cultivated,i, 12.5,,dry,13.5,6, 8.60, 4.20,, 27.80,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi3,cultivated,i, 8.2,,dry,10.1,7, 6.60, 2.90,, 26.20,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi4,cultivated,i, 31.8,1.79,,11.9,7, 7.60, 3.20,, 25.60,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi5,cultivated,i, 14.8,,dry,12.6,7, 7.20, 3.00,, 26.00,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi6,cultivated,i, 29.5,1.58,,12.3,8, 7.10, 3.00,, 26.10,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvi7,cultivated,i, 12.4,,dry,21.0,8, 11.40, 3.90,, 31.10,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi1,wild,i, 28.9,1.68,,11.8,11, 5.40, 3.40,, 26.20,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi2,wild,i, 7.6,,dry,14.3,11, 7.50, 4.10,, 31.70,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi3,wild,i, 7.1,,dry,17.0,10, 8.00, 4.20,, 29.30,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi4,wild,i, 11.2,,dry,10.1,9, 5.30, 3.20,, 24.80,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi5,wild,i, 10.3,,dry,10.2,10, 4.50, 3.40,, 30.80,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi6,wild,i, 7.3,,dry,10.1,9, 4.00, 3.10,, 30.50,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Sooi7,wild,i, 8.4,,dry,15.0,11, 6.90, 4.20,, 32.70,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs1,cultivated,s, 7.8,,dry,14.8,6, 6.50, 2.30,, 28.00,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs2,cultivated,s, 5.7,,dry,10.6,8, 6.10, 2.40,, 27.90,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs3,cultivated,s, 2.5,,,,,,,,,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs4,cultivated,s, 2.6,,dry,16.3,6, 8.50, 5.80,, 29.10,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs5,cultivated,s, 7.9,,dry,13.0,6, 6.60, 3.20,, 25.30,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs6,cultivated,s, 7.2,,dry,12.2,7, 5.50, 2.40,, 23.10,,,,,,,
G4,W4,2022-11-02,Beta vulgaris,Bvs7,cultivated,s, 6.1,,dry,11.4,5, 7.10, 3.30,, 21.20,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos1,wild,s, 4.9,,dry,13.3,8, 6.60, 4.20,, 38.70,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos2,wild,s, 7.7,,dry,10.1,9, 5.00, 3.60,, 33.80,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos3,wild,s, 5.3,,dry,13.6,7, 6.00, 3.60,, 32.50,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos4,wild,s, 6.1,,dry,14.0,7, 5.20, 4.20,, 29.40,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos5,wild,s, 5.3,,dry,28.0,8, 7.60, 5.40,, 26.10,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos6,wild,s, 6.4,,dry,12.7,7, 5.40, 3.90,, 28.20,,,,,,,
G4,W4,2022-11-02,Sonchus oleraceus,Soos7,wild,s, 5.4,,dry,11.1,9, 4.60, 3.40,, 31.90,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc1,cultivated,c, 11.8,,dry,13.6,9, 8.30, 3.20,, 27.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc2,cultivated,c, 22.2,1.15,,14.5,9, 7.20, 4.20,, 32.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc3,cultivated,c, 21.3,1.08,,18.3,11, 12.10, 7.00,, 26.50,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc4,cultivated,c, 17.1,1.02,,11.9,7, 6.80, 3.80,, 25.40,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc5,cultivated,c, 22.0,1.08,,14.0,10, 8.20, 3.40,, 24.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc6,cultivated,c, 26.4,1.15,,13.1,9, 7.70, 3.00,, 26.50,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvc7,cultivated,c, 31.2,1.36,,10.7,9, 6.30, 2.80,, 25.00,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc1,wild,c, 11.6,,dry,11.4,11, 5.30, 3.80,, 27.70,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc2,wild,c, 14.1,,dry,12.3,11, 6.00, 4.30,, 26.10,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc3,wild,c, 7.3,,dry,18.5,14, 9.40, 5.50,, 30.10,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc4,wild,c, 23.2,1.46,,11.8,11, 4.90, 3.50,, 28.90,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc5,wild,c, 19.9,1.47,,10.7,10, 4.80, 3.40,, 26.50,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc6,wild,c, 14.1,,dry,12.3,11, 6.20, 4.10,, 30.50,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooc7,wild,c, 7.5,,dry,11.6,10, 5.40, 3.90,, 32.50,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi1,cultivated,i, 9.4,,dry,13.0,9, 6.40, 3.20,, 31.80,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi2,cultivated,i, 7.0,,dry,12.5,7, 7.30, 3.60,, 33.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi3,cultivated,i, 5.1,,dry,18.6,7, 12.90, 5.00,, 31.00,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi4,cultivated,i, 22.6,1.22,,11.1,8, 7.80, 3.10,, 20.30,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi5,cultivated,i, 10.6,,dry,12.6,8, 7.20, 3.10,, 21.80,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi6,cultivated,i, 17.2,1.17,,11.4,8, 7.70, 3.10,, 28.40,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvi7,cultivated,i, 7.5,,dry,26.0,7, 11.80, 4.50,, 30.70,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi1,wild,i, 19.0,1.27,,10.6,12, 5.30, 3.40,, 28.20,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi2,wild,i, 3.2,,dry,13.4,11, 7.10, 3.50,, 38.00,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi3,wild,i, 4.5,,dry,16.3,11, 7.70, 4.60,, 34.30,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi4,wild,i, 4.9,,dry,9.5,10, 5.00, 3.10,, 29.60,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi5,wild,i, 4.8,,dry,9.5,11, 4.00, 3.00,, 35.50,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi6,wild,i, 4.4,,dry,9.7,10, 4.10, 3.00,, 38.30,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Sooi7,wild,i, 4.6,,dry,14.4,10, 6.70, 4.00,, 36.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs1,cultivated,s, 5.5,,dry,21.2,6, 11.80, 4.50,, 28.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs2,cultivated,s, 4.5,,dry,10.1,8, 5.50, 2.10,, 27.30,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs3,cultivated,s,,,,,,,,,,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs4,cultivated,s, 2.3,,dry,14.0,5, 7.70, 4.30,, 32.20,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs5,cultivated,s, 4.1,,dry,11.9,6, 6.20, 2.70,, 28.70,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs6,cultivated,s, 3.2,,dry,14.5,7, 9.30, 3.20,, 28.30,,,,,,,
G4,W5,2022-11-09,Beta vulgaris,Bvs7,cultivated,s, 4.2,,dry,14.6,5, 9.00, 5.00,, 27.80,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos1,wild,s, 2.3,,dry,24.7,8, 11.00, 5.90,, 29.90,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos2,wild,s, 5.3,,dry,9.5,10, 4.80, 3.50,, 33.00,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos3,wild,s, 3.1,,dry,27.3,8, 11.30, 5.90,, 25.50,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos4,wild,s, 3.7,,dry,13.7,9, 5.10, 4.10,, 28.20,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos5,wild,s, 3.2,,dry,30.0,10, 7.70, 5.30,, 27.70,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos6,wild,s, 4.5,,dry,12.1,8, 4.90, 3.80,, 29.80,,,,,,,
G4,W5,2022-11-09,Sonchus oleraceus,Soos7,wild,s, 4.1,,dry,10.6,10, 4.50, 3.30,, 32.90,,,,,,,
G4,W6,2022-11-23,Beta vulgaris,Bvc1,cultivated,c, 7.2,,dry,14.0,10, 7.50, 3.10, 53.33,29.80, 22.14,, 29.27, 0.92, 0.28,,
G4,W6,2022-11-23,Beta vulgaris,Bvc2,cultivated,c, 16.3,,dry,18.6,7, 10.00, 5.20, 29.12,32.60, 17.04,, 20.00, 0.83, 0.15,,
G4,W6,2022-11-23,Beta vulgaris,Bvc3,cultivated,c, 12.2,,dry,18,13, 12.20, 6.90, 64.11,34.70, 25.28, 0.96, 13.48, 1.16, 0.19,,
